S   UID   PID  PPID  C PRI  NI   RSS    SZ WCHAN  TTY          TIME CMD
S     0   532     2  0  60 -20     0     0 -      ?        00:00:00 cfg80211
S     0   535     2  0  60 -20     0     0 -      ?        00:00:00 bioset
S   201   541     1  0  80   0  1644  2536 -      ?        00:00:29 dbus-daemon
S   202   566     1  0  80   0    92 74263 -      ?        00:00:01 rsyslogd
S     0   594     2  0  60 -20     0     0 -      ?        00:00:00 hci0
S     0   595     2  0  60 -20     0     0 -      ?        00:00:00 hci0
S     0   599     2  0   9   -     0     0 -      ?        00:05:33 irq/264-iwlwifi
S   219   651     1  0  80   0   852  3887 -      ?        00:00:01 wpa_supplicant
S     0   751     2  0  60 -20     0     0 -      ?        00:00:00 loop1
S     0   785     2  0  60 -20     0     0 -      ?        00:00:00 kdmflush
S     0   793     2  0  60 -20     0     0 -      ?        00:00:00 bioset
S     0   806     2  0  60 -20     0     0 -      ?        00:00:00 kverityd
S     0   811     2  0  60 -20     0     0 -      ?        00:00:00 bioset
S 20104   966     1  0  80   0  2912  7471 -      ?        00:00:40 shill
S   247   984     1  0  80   0   388  5676 -      ?        00:00:00 pca_agentd
S   202  1006   966  0  80   0     0  1633 -      ?        00:00:00 logger
S   207  1062     1  0  80   0     0 135636 -     ?        00:00:00 tcsd
S   223  1086     1  0  80   0  1148 45456 -      ?        00:00:00 chapsd
S   228  1089     1  0  80   0  2316 24749 -      ?        00:01:31 powerd
S     0  1102     1  0  80   0   932 24203 -      ?        00:00:00 tpm_managerd
S   247  1174     1  0  80   0     0 43669 -      ?        00:00:00 attestationd
S     0  1258     1  0  80   0   580  7510 -      ?        00:00:05 session_manager
S     0  1274     2  0  60 -20     0     0 -      ?        00:00:00 loop2
S     0  1288     1  0  80   0    32 138147 -     ?        00:00:00 cryptohomed
S  1000  1307  1258  1  72  -8 259752 272044 SYSC_e ?      01:23:07 chrome
S     0  1327     1  0  80   0  1048  5136 -      ?        00:00:00 debugd
S  1000  1360  1307  0  80   0 34728 87496 poll_s ?        00:00:00 chrome
S  1000  1362  1307  0  80   0 36244 87496 wait   ?        00:00:00 chrome
S  1000  1374  1362  0  80   0   500  5564 skb_re ?        00:00:00 nacl_helper
S  1000  1376  1360  0  80   0   136  5564 skb_re ?        00:00:00 nacl_helper
S  1000  1378  1362  0  80   0     0  1759 skb_re ?        00:00:00 nacl_helper_non
S  1000  1380  1360  0  80   0     0  1759 skb_re ?        00:00:00 nacl_helper_non
S  1000  1383  1362  0  80   0 36128 87496 poll_s ?        00:00:04 chrome
S  1000  1415  1360  2  72  -8 185912 197280 futex_ ?      02:00:44 chrome
S  1000  1419  1307  0  80   0 92712 132774 futex_ ?       00:32:53 chrome
S  1000  1426  1415  0  72  -8 33428 94759 skb_re ?        00:00:00 chrome
S     0  1509     1  0  80   0   648  1092 -      ?        00:00:00 periodic_schedu
S     0  1510     1  0  80   0    12 134476 -     ?        00:00:57 esif_ufd
S   230  1556     1  0  80   0  1164 24722 -      ?        00:00:02 permission_brok
S   226  1559     1  0  80   0   880 42421 -      ?        00:00:00 mtpd
S     0  1564     1  0  80   0   204  2151 -      ?        00:00:00 minijail0
S   238  1573     1  0  80   0   412  2901 -      ?        00:00:00 avahi-daemon
S   241  1583     1  0  80   0   276 60107 -      ?        00:00:00 ModemManager
S   232  1616     1  0  80   0   260  1659 -      ?        00:00:00 minijail0
S   238  1623  1573  0  80   0     4  2870 -      ?        00:00:00 avahi-daemon
S   600  1628  1564  0  80   0   264  1659 -      ?        00:00:00 minijail0
S   213  1640     1  0  80   0  1192  6480 -      ?        00:00:06 cros-disks
S   232  1641  1616  0  80   0   544  1754 -      ?        00:00:00 conntrackd
S     0  1643     1  0  80   0  6940  7840 -      ?        00:00:01 update_engine
S   600  1644  1628  0  80   0  3864 28801 -      ?        00:07:41 cras
S     0  1664     1  0  80   0   296  2247 -      ?        00:00:00 upstart-socket-
S     0  1681     1  0  80   0   616  1092 -      ?        00:00:00 periodic_schedu
S     0  1707     2  0   9   -     0     0 -      ?        00:00:00 irq/67-max98090
S     0  1713     1  0  80   0   616  1092 -      ?        00:00:00 periodic_schedu
S     0  1755     2  0  80   0     0     0 -      ?        00:06:40 baytrail-pcm-au
S     0  1758     2  0   9   -     0     0 -      ?        00:15:36 irq/29-AudioDSP
S  1000  1809 29467  0  80   0 112904 727647 poll_s ?      00:06:34 Web Content
S     0  1845     1  0  80   0   648  1092 -      ?        00:00:00 periodic_schedu
S     0  1967     1  0  80   0   144  2183 -      ?        00:00:00 minijail0
S     0  1978     1  0  80   0   620  1092 -      ?        00:00:00 periodic_schedu
S   218  2003  1967  0  80   0  1068  6297 -      ?        00:00:00 bluetoothd
S     0  2011     1  0  80   0     4  2151 -      ?        00:00:00 minijail-init
S     0  2014     1  0  80   0     4  2183 -      ?        00:00:00 minijail-init
S     0  2024  2011  0  80   0  1664 40946 -      ?        00:00:00 anomaly_detecto
S   218  2025  2014  0  80   0   148  5384 -      ?        00:00:00 btdispatch
S     0  2041     1  0  80   0     4  1659 -      ?        00:00:00 minijail-init
S   234  2066  2041  0  80   0   724  3369 -      ?        00:00:00 tlsdated
S     0  2079  2066  0  80   0     0  2845 -      ?        00:00:00 tlsdated-setter
S     0  2091     2  0  70 -10     0     0 -      ?        00:00:00 krfcommd
S 20140  2362     1  0  80   0  2840  6000 -      ?        00:00:49 metrics_daemon
S     0  2367     1  0  80   0     4  1659 -      ?        00:00:00 minijail-init
S     0  2369  2367  0  80   0   360  2889 -      ?        00:00:07 memd
S   249  2451     1  0  80   0   692  5449 -      ?        00:00:00 easy_unlock
S  1000  2461  1383  0  80   0 49836 1167395 futex_ ?      00:00:36 chrome
S  1000  2484  1383  0  80   0 53600 1171797 futex_ ?      00:00:07 chrome
S  1000  5716 29467  0  80   0 72092 681147 poll_s ?       00:01:13 Web Content
S   224  6677   966  0  80   0   468  2814 -      ?        00:00:00 dhcpcd
